source,target,Year,weights,totalweightkg,totalvalueofgoodsusd
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2028,2,36085,348185
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2029,1,16985,210020
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2030,2,35175,391120
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,52,1273105,15067870
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,70,1519010,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,47,914360,NA
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2028,7,125460,1364720
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2029,15,276465,3170455
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2030,12,228515,2374235
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2031,6,119850,1128865
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2032,12,280800,2493440
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2033,31,774800,NA
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2034,23,544440,NA
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2029,12,213740,2603395
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2030,12,216895,1871090
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2031,18,373540,3623540
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2032,18,375845,3748835
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2033,13,261815,NA
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2034,27,531375,NA
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2028,9,160400,1655845
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2029,29,522245,6071695
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2030,40,732730,13727985
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2031,49,956015,25630580
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2032,25,521445,6145100
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2033,39,814270,NA
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2034,14,289330,4079710
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2028,10,178890,2080150
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2029,34,608780,7301475
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2030,38,676400,6290195
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2031,12,232300,2353050
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2032,43,887235,9856975
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2033,5,100950,NA
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2034,2,38720,NA
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2028,4,71945,737265
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2029,5,89940,1108390
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2030,12,214870,1909175
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2031,31,604385,5884500
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2032,20,419705,4124175
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2033,27,589455,NA
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2028,30,513775,5912815
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2029,23,409395,4943275
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2030,18,315640,2918670
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2031,6,108740,1022485
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2032,18,374230,3548830
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2033,64,1245455,NA
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2034,126,2482950,NA
Aqua Adventures Carriers Seabed,-41,2029,19,295455,3429885
Aqua Adventures Carriers Seabed,-41,2030,12,178645,1681080
Aqua Adventures Carriers Seabed,-41,2031,16,238175,2262785
Aqua Adventures Carriers Seabed,-41,2032,30,446715,4608350
Aqua Adventures Carriers Seabed,-41,2033,40,599555,6515590
Aqua Adventures Carriers Seabed,-41,2034,31,464795,5378055
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2028,81,1486895,15277045
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2029,23,422035,5200510
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2030,30,551230,5109785
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2031,8,150105,1487715
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2032,45,854000,8091585
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2033,47,871320,NA
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2034,57,1072285,12500435
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2028,2,33615,326200
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2029,13,238660,2648165
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2030,29,535655,5116715
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2031,44,826010,7989410
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2032,25,471550,4808450
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2033,16,304305,3291645
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2034,13,240145,NA
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2029,7,134050,1549035
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2030,15,276015,2822515
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2031,35,612960,6065590
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2032,28,513900,4947065
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2033,20,359740,NA
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2034,18,340530,3201575
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,2028,42,658060,6939495
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,2029,36,573215,6672475
