source,target,Year,Month,weights,totalweightkg,totalvalueofgoodsusd
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2028,1,1,17985,172065
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2028,4,1,18100,176120
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2029,9,1,16985,210020
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2030,1,1,17495,203030
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2030,3,1,17680,188090
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,4,2,227265,2225015
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,5,4,82670,812435
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,6,7,145040,1427505
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,7,7,147260,1460805
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,8,4,87245,1303705
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,9,5,102130,1950340
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,10,11,228445,2846005
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,11,7,150830,1471830
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,12,5,102220,1570230
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,1,2,38965,524230
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,2,2,40170,408255
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,3,3,71350,710520
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,4,8,164095,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,5,7,170970,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,6,9,211495,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,7,9,200905,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,8,11,224355,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,9,4,85120,794405
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,10,10,204850,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,11,2,40135,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,12,3,66600,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,1,7,144725,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,2,1,19495,155100
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,3,2,40205,317090
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,4,1,25415,216165
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,6,1,24795,271220
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,7,2,40540,475165
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,8,8,167985,1618500
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,9,2,40155,442065
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,10,7,137285,1485730
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,11,11,193920,1939220
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,12,5,79840,726205
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2028,3,3,53970,564360
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2028,5,1,17990,175060
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2028,8,1,17525,196105
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2028,9,1,17985,210140
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2028,10,1,17990,219055
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2029,1,2,35970,374180
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2029,3,2,35980,372265
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2029,8,2,34780,427225
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2029,9,3,52470,648325
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2029,10,2,35880,447195
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2029,12,4,81385,901265
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2030,1,5,99360,1061690
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2030,2,3,53950,560185
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2030,3,2,35960,384235
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2030,12,2,39245,368125
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2031,6,2,38415,363240
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2031,8,3,60995,564430
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2031,12,1,20440,201195
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2032,9,5,121485,1138730
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2032,10,2,41935,353140
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2032,11,4,91505,776390
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2032,12,1,25875,225180
