source,target,Year,weights,totalweightkg,totalvalueofgoodsusd
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2028,72,775075,7059655
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,59,1006165,8179145
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,26,428805,3455865
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2031,2,43930,317075
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2028,5,71075,566150
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2029,20,321400,2742395
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2030,149,1885595,14428515
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2031,64,727370,6241705
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2032,23,317815,3240945
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2033,40,767300,7544925
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2034,24,439480,4650945
1 Ltd. Liability Co Cargo,Saltwater Supreme Pelican Ltd Enterprises,2028,18,228480,1544175
1 Ltd. Liability Co Cargo,Saltwater Supreme Pelican Ltd Enterprises,2029,29,402200,3701225
1 Ltd. Liability Co Cargo,Saltwater Supreme Pelican Ltd Enterprises,2030,41,501600,3706205
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2028,7,105490,873520
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2029,4,35890,548500
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2030,12,154620,1225095
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2031,20,209050,1948065
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2032,13,153005,1683290
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2033,13,211870,2096545
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2034,17,221860,2350375
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2031,1,21595,78630
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2032,10,215900,401700
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2033,41,903405,1883040
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2034,32,695810,1162875
2 Limited Liability Company,Mar del Este CJSC,2028,4,88050,456180
2 Limited Liability Company,Mar del Este CJSC,2029,12,229450,889430
2 Limited Liability Company,Mar del Este CJSC,2030,2,42020,136460
2 Limited Liability Company,Mar del Este CJSC,2031,35,785920,1523270
2 Limited Liability Company,Mar del Este CJSC,2032,13,287635,701850
2 Limited Liability Company,Mar del Este CJSC,2033,26,561455,NA
2 Limited Liability Company,Mar del Este CJSC,2034,25,547260,NA
2 Limited Liability Company,Pao gan SE Seal,2028,2,45040,125275
2 Limited Liability Company,Pao gan SE Seal,2029,26,598140,1649350
2 Limited Liability Company,Pao gan SE Seal,2030,20,420235,1294835
2 Limited Liability Company,Pao gan SE Seal,2031,22,483245,2159185
2 Limited Liability Company,Pao gan SE Seal,2032,28,645155,2325555
2 Limited Liability Company,Pao gan SE Seal,2033,35,803690,NA
2 Limited Liability Company,Pao gan SE Seal,2034,57,1295230,NA
2 Limited Liability Company,Sea Striders GmbH Industrial,2030,44,1016500,3547365
2 Limited Liability Company,Sea Striders GmbH Industrial,2031,92,2076095,9603860
2 Limited Liability Company,Sea Striders GmbH Industrial,2032,8,152090,896285
2 Limited Liability Company,hǎi dǎn Corporation Wharf,2028,4,93460,355200
2 Limited Liability Company,hǎi dǎn Corporation Wharf,2029,6,151275,403145
2 Limited Liability Company,hǎi dǎn Corporation Wharf,2031,14,309355,633385
2 Limited Liability Company,hǎi dǎn Corporation Wharf,2032,44,966450,2816595
2 Limited Liability Company,hǎi dǎn Corporation Wharf,2033,27,643470,NA
2 Limited Liability Company,hǎi dǎn Corporation Wharf,2034,18,412645,997075
2 Wharf S.A. de C.V. Delivery,3 Oceanography ОАО Marine life,2032,20,426590,4478200
2 Wharf S.A. de C.V. Delivery,3 Oceanography ОАО Marine life,2033,58,1138980,NA
2 Wharf S.A. de C.V. Delivery,3 Oceanography ОАО Marine life,2034,73,1527380,14716725
3 Logistics Tom yum,Pao gan LC Freight ,2029,10,161435,1052645
