source,target,Year,Month,weights,totalweightkg,totalvalueofgoodsusd
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2028,6,6,33800,324250
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2028,7,12,94910,908030
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2028,8,11,163555,1580835
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2028,9,12,154895,1433870
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2028,10,11,113200,1186445
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2028,11,12,112140,868695
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2028,12,8,102575,757530
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,1,12,208770,1430480
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,2,13,209350,1456750
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,3,7,132225,988440
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,4,1,11440,84960
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,5,3,61455,671155
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,6,2,40590,430160
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,7,1,4690,50240
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,8,4,37050,399380
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,9,6,100795,1084810
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,10,3,57465,618330
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,11,3,61290,471215
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2029,12,4,81045,493225
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,2,1,18390,103050
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,3,3,58950,303460
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,5,4,76915,667185
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,6,6,98440,842580
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,7,2,38375,331170
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,8,4,68520,683450
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,9,2,13045,117575
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,10,1,2355,21305
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2030,11,3,53815,386090
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2031,1,1,22600,161000
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,2031,2,1,21330,156075
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2028,10,3,35945,362050
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2028,11,2,35130,204100
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2029,3,3,52815,273900
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2029,6,3,33510,355425
