source,target,Year,weights,totalweightkg,totalvalueofgoodsusd
2 Limited Liability Company,-90,2031,40,1034500,2722955
2 Limited Liability Company,Belgian Cod BV Solutions,2030,3,67525,582190
2 Limited Liability Company,Belgian Cod BV Solutions,2031,19,369655,2938235
2 Limited Liability Company,Belgian Cod BV Solutions,2032,1,9600,59515
2 Limited Liability Company,Brisa del Este BV,2032,2,46865,120380
2 Limited Liability Company,Brisa del Este BV,2033,17,395420,1022685
2 Limited Liability Company,Brisa del Este BV,2034,5,100860,252910
2 Limited Liability Company,Caracola del Sol Services,2031,15,313500,622780
2 Limited Liability Company,Caracola del Sol Services,2032,3,60795,101260
2 Limited Liability Company,Caracola del Sol Services,2033,5,107855,NA
2 Limited Liability Company,Caracola del Sol Services,2034,18,402120,962100
2 Limited Liability Company,Costa de la Felicidad Shipping,2031,3,61450,104960
2 Limited Liability Company,Costa de la Felicidad Shipping,2032,7,152635,342465
2 Limited Liability Company,Costa de la Felicidad Shipping,2033,13,276980,NA
2 Limited Liability Company,Costa de la Felicidad Shipping,2034,12,252085,441885
2 Limited Liability Company,David Ltd. Liability Co Forwading,2031,3,64465,107425
2 Limited Liability Company,David Ltd. Liability Co Forwading,2032,1,21465,74165
2 Limited Liability Company,David Ltd. Liability Co Forwading,2033,3,64920,190870
2 Limited Liability Company,David Ltd. Liability Co Forwading,2034,14,367730,662645
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2031,1,21595,78630
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2032,10,215900,401700
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2033,41,903405,1883040
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2034,32,695810,1162875
2 Limited Liability Company,Mar del Este CJSC,2028,4,88050,456180
2 Limited Liability Company,Mar del Este CJSC,2029,12,229450,889430
2 Limited Liability Company,Mar del Este CJSC,2030,2,42020,136460
2 Limited Liability Company,Mar del Este CJSC,2031,35,785920,1523270
2 Limited Liability Company,Mar del Este CJSC,2032,13,287635,701850
2 Limited Liability Company,Mar del Este CJSC,2033,26,561455,NA
2 Limited Liability Company,Mar del Este CJSC,2034,25,547260,NA
2 Limited Liability Company,Pao gan SE Seal,2028,2,45040,125275
2 Limited Liability Company,Pao gan SE Seal,2029,26,598140,1649350
2 Limited Liability Company,Pao gan SE Seal,2030,20,420235,1294835
2 Limited Liability Company,Pao gan SE Seal,2031,22,483245,2159185
2 Limited Liability Company,Pao gan SE Seal,2032,28,645155,2325555
2 Limited Liability Company,Pao gan SE Seal,2033,35,803690,NA
2 Limited Liability Company,Pao gan SE Seal,2034,57,1295230,NA
2 Limited Liability Company,Playa de Arena N.V.,2033,12,297030,NA
2 Limited Liability Company,Playa de Arena N.V.,2034,12,331590,796845
2 Limited Liability Company,Rift Valley fishery Inc,2031,14,275130,740720
2 Limited Liability Company,Rift Valley fishery Inc,2032,7,140415,718935
2 Limited Liability Company,Rift Valley fishery Inc,2033,4,86890,464175
2 Limited Liability Company,Rift Valley fishery Inc,2034,1,18600,64735
