source,target,Year,weights,totalweightkg,totalvalueofgoodsusd
 Direct Herring Company Transit,Mar y Luna Wakame,2029,11,228220,1204255
 Direct Herring Company Transit,Mar y Luna Wakame,2030,9,184025,770480
 Direct Herring Company Transit,Mar y Luna Wakame,2031,2,41615,138625
2 Limited Liability Company,Belgian Cod BV Solutions,2030,3,67525,582190
2 Limited Liability Company,Belgian Cod BV Solutions,2031,19,369655,2938235
2 Limited Liability Company,Belgian Cod BV Solutions,2032,1,9600,59515
2 Limited Liability Company,David Ltd. Liability Co Forwading,2031,3,64465,107425
2 Limited Liability Company,David Ltd. Liability Co Forwading,2032,1,21465,74165
2 Limited Liability Company,David Ltd. Liability Co Forwading,2033,3,64920,190870
2 Limited Liability Company,David Ltd. Liability Co Forwading,2034,14,367730,662645
2 Limited Liability Company,Selous Game Reserve  S.A. de C.V.,2031,1,21015,76105
2 Limited Liability Company,Selous Game Reserve  S.A. de C.V.,2032,6,141025,452215
2 Limited Liability Company,Selous Game Reserve  S.A. de C.V.,2033,4,73590,159525
2 Limited Liability Company,Selous Game Reserve  S.A. de C.V.,2034,18,380935,1045565
2 Wharf S.A. de C.V. Delivery,3 Oceanography ОАО Marine life,2032,20,426590,4478200
2 Wharf S.A. de C.V. Delivery,3 Oceanography ОАО Marine life,2033,58,1138980,NA
2 Wharf S.A. de C.V. Delivery,3 Oceanography ОАО Marine life,2034,73,1527380,14716725
3 Oceanography ОАО Marine life,Pao gan SE Seal,2028,2,57210,202140
3 Oceanography ОАО Marine life,Pao gan SE Seal,2030,4,113570,361795
3 Oceanography ОАО Marine life,Pao gan SE Seal,2031,2,57835,187040
3 Oceanography ОАО Marine life,Pao gan SE Seal,2032,2,57825,165700
3 Oceanography ОАО Marine life,Pao gan SE Seal,2033,8,225005,1798540
3 Oceanography ОАО Marine life,Pao gan SE Seal,2034,8,226300,723745
4 Limited Liability Company Seaport,AtlanticAppetite Oyster  Ltd. Corporation Investment,2032,12,196745,1404615
4 Limited Liability Company Seaport,AtlanticAppetite Oyster  Ltd. Corporation Investment,2033,44,721350,5314730
4 Limited Liability Company Seaport,AtlanticAppetite Oyster  Ltd. Corporation Investment,2034,66,1121745,8331630
4 N.V. Marine biology,Sea Striders GmbH Industrial,2028,23,807775,NA
4 N.V. Marine biology,Sea Striders GmbH Industrial,2029,28,889400,6207330
4 N.V. Marine biology,Sea Striders GmbH Industrial,2030,20,751310,4828055
4 N.V. Marine biology,Sea Striders GmbH Industrial,2031,16,504895,3565380
4 N.V. Marine biology,Sea Striders GmbH Industrial,2032,25,828525,NA
4 N.V. Marine biology,Sea Striders GmbH Industrial,2033,39,1157470,NA
4 N.V. Marine biology,Sea Striders GmbH Industrial,2034,17,520825,NA
Adair S.A. de C.V.,Chituku SRL & Son's,2029,2,40010,165920
Adair S.A. de C.V.,Chituku SRL & Son's,2030,8,160000,881760
Adair S.A. de C.V.,Chituku SRL & Son's,2031,7,140010,933520
Adair S.A. de C.V.,Chituku SRL & Son's,2033,4,79985,NA
Adriatic Catch Ltd. Liability Co Transportation,Deep Blue Cargo ship,2028,2,35995,462330
Adriatic Catch Ltd. Liability Co Transportation,Deep Blue Cargo ship,2029,8,143895,1782835
Adriatic Catch Ltd. Liability Co Transportation,Deep Blue Cargo ship,2030,4,76845,707430
Adriatic Catch Ltd. Liability Co Transportation,Deep Blue Cargo ship,2031,4,82260,798355
Adriatic Catch Ltd. Liability Co Transportation,Deep Blue Cargo ship,2032,7,147745,1694030
Adriatic Catch Ltd. Liability Co Transportation,Deep Blue Cargo ship,2033,1,19780,248235
Adriatic Catch Ltd. Liability Co Transportation,Deep Blue Cargo ship,2034,4,103105,NA
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2028,4,71945,737265
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2029,5,89940,1108390
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2030,12,214870,1909175
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2031,31,604385,5884500
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2032,20,419705,4124175
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2033,27,589455,NA
Adriatic Tuna AS Solutions,Mar de Sirenas BV Worldwide,2033,9,155510,1332735
Adriatic Tuna AS Solutions,Mar de Sirenas BV Worldwide,2034,14,231750,1909950
Adriatic Tuna ОАО Carriers,Olas del Sur Ltd,2028,16,347750,2226700
Adriatic Tuna ОАО Carriers,Olas del Sur Ltd,2029,39,639210,NA
Adriatic Tuna ОАО Carriers,Olas del Sur Ltd,2030,3,63030,453210
Adriatic Tuna ОАО Carriers,Olas del Sur Ltd,2031,9,189120,1467880
Amerigo Dockyard S.p.A. Distribution,Mandalore S.A. de C.V. Logistics,2031,18,408795,2544565
Amerigo Dockyard S.p.A. Distribution,Mandalore S.A. de C.V. Logistics,2032,3,68960,416160
Amerigo Dockyard S.p.A. Distribution,Shou gan  Limited Liability Company Distribution,2028,44,993990,10292835
Amerigo Dockyard S.p.A. Distribution,Shou gan  Limited Liability Company Distribution,2029,32,697810,NA
Amerigo Dockyard S.p.A. Distribution,Shou gan  Limited Liability Company Distribution,2030,26,585705,4010285
Amerigo Dockyard S.p.A. Distribution,Shou gan  Limited Liability Company Distribution,2031,25,575300,3613055
Amerigo Dockyard S.p.A. Distribution,Shou gan  Limited Liability Company Distribution,2032,16,352725,3388765
Amerigo Dockyard S.p.A. Distribution,Zambezi River   Sp Marine conservation,2029,10,230105,NA
Amerigo Dockyard S.p.A. Distribution,Zambezi River   Sp Marine conservation,2030,4,92070,890510
Amerigo Dockyard S.p.A. Distribution,Zambezi River   Sp Marine conservation,2032,16,304960,3021690
Amerigo Dockyard S.p.A. Distribution,Zambezi River   Sp Marine conservation,2033,19,360155,4572605
Ancla del Este AS,3 Oceanography ОАО Marine life,2028,14,293880,NA
Ancla del Este AS,3 Oceanography ОАО Marine life,2029,33,655020,6223330
Ancla del Este AS,3 Oceanography ОАО Marine life,2030,21,409595,3886970
Andhra Pradesh  Ltd. Liability Co,Congo Rapids   Ltd. Corporation,2028,14,122155,1332140
Andhra Pradesh  Ltd. Liability Co,Congo Rapids   Ltd. Corporation,2029,10,100650,1154600
Andhra Pradesh  Ltd. Liability Co,Congo Rapids   Ltd. Corporation,2030,15,134060,1678780
Angeline Sea NV Worldwide,Belgian Cod BV Solutions,2032,86,2099205,15218925
Angeline Sea NV Worldwide,Belgian Cod BV Solutions,2033,168,4172960,32628500
Angeline Sea NV Worldwide,Belgian Cod BV Solutions,2034,224,5760080,36869105
Angeline Sea NV Worldwide,Congo Rapids   Ltd. Corporation,2031,24,596690,4096225
Aqua Adventures Carriers Seabed,Casablanca Coast  Flounder Oyj Line,2028,23,388970,4009745
Aqua Adventures Carriers Seabed,Casablanca Coast  Flounder Oyj Line,2029,2,33625,412160
Aqua Adventures Carriers Seabed,Casablanca Coast  Flounder Oyj Line,2030,6,100840,970560
Aqua Adventures Carriers Seabed,Casablanca Coast  Flounder Oyj Line,2031,12,209075,2025265
Aqua Adventures Carriers Seabed,Casablanca Coast  Flounder Oyj Line,2034,3,52000,442165
Aqua Adventures Carriers Seabed,David Ltd. Liability Co Forwading,2028,7,95040,989410
Aqua Adventures Carriers Seabed,David Ltd. Liability Co Forwading,2029,11,138840,1438370
Aqua Adventures Carriers Seabed,David Ltd. Liability Co Forwading,2030,10,160655,1547700
Aqua Adventures Carriers Seabed,David Ltd. Liability Co Forwading,2031,12,201870,1936260
Aqua Adventures Carriers Seabed,David Ltd. Liability Co Forwading,2032,8,130040,1238525
Aqua Adventures Carriers Seabed,David Ltd. Liability Co Forwading,2033,2,34665,324130
Aqua Adventures Ges.m.b.H. Roe,Yenisei  Eel GmbH & Co. KG Services,2029,6,133610,1272545
Aqua Adventures Ges.m.b.H. Roe,Yenisei  Eel GmbH & Co. KG Services,2030,12,269075,2913605
Aqua Adventures Ges.m.b.H. Roe,Yenisei  Eel GmbH & Co. KG Services,2031,2,45595,568445
Aqua Adventures Ges.m.b.H. Roe,Yenisei  Eel GmbH & Co. KG Services,2032,16,409790,6284920
Aqua Adventures Ges.m.b.H. Roe,Yenisei  Eel GmbH & Co. KG Services,2033,4,101315,1462725
Aqua Adventures Ges.m.b.H. Roe,Yenisei  Eel GmbH & Co. KG Services,2034,6,154470,824405
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2028,14,306310,1259865
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2029,55,1165470,5015090
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2030,47,1013460,5149975
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2031,130,2788055,14352755
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2032,132,2780305,18351010
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2033,88,1846485,NA
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2034,25,583665,3443550
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2030,2,54235,84865
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2031,2,368980,898430
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2032,2,540135,958615
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2033,42,7725975,45628995
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2034,152,16506170,NA
Aqua Aura SE Marine life,Spanish Anchovy CJSC Marine,2028,5,263425,2095085
Aqua Aura SE Marine life,Spanish Anchovy CJSC Marine,2029,4,70505,541315
Aqua Aura SE Marine life,Spanish Anchovy CJSC Marine,2030,14,310800,1789550
Aqua Aura SE Marine life,Spanish Anchovy CJSC Marine,2031,27,518565,1732940
Aqua Aura SE Marine life,Spanish Anchovy CJSC Marine,2032,20,480290,2138000
Aqua Aura SE Marine life,Spanish Anchovy CJSC Marine,2033,39,1005455,10147820
Aqua Aura SE Marine life,Spanish Anchovy CJSC Marine,2034,21,618670,8194005
Aqua Azul BV Merchants,Caracola del Este Pic,2030,20,520925,2421505
Aqua Azul BV Merchants,Caracola del Este Pic,2031,2,78605,270430
Aqua Mermaid Seafarer Sp Solutions,Lake Victoria Nile    Corporation,2028,23,470490,2549395
Aqua Mermaid Seafarer Sp Solutions,Lake Victoria Nile    Corporation,2029,8,163700,1127630
Aqua Mermaid Seafarer Sp Solutions,Lake Victoria Nile    Corporation,2030,12,245620,1687565
Aqua Mermaid Seafarer Sp Solutions,Lake Victoria Nile    Corporation,2031,18,365300,2362940
Aqua Mermaid Seafarer Sp Solutions,Lake Victoria Nile    Corporation,2032,14,275870,821500
Aqua Ventures Wave Sp Marine sanctuary,Olas del Sur Ltd,2032,28,548490,1504535
AquaCuisine  Ltd. Liability Co,Selous Game Reserve  S.A. de C.V.,2031,4,82340,807130
AquaCuisine  Ltd. Liability Co,Selous Game Reserve  S.A. de C.V.,2032,16,328930,3127155
AquaCuisine  Ltd. Liability Co,Selous Game Reserve  S.A. de C.V.,2033,2,45445,NA
AquaCuisine AG Marine ecology,Shou gan  Sagl Mudflat,2032,9,190015,582210
AquaCuisine AG Marine ecology,Shou gan  Sagl Mudflat,2033,16,382450,1070735
Arena de Coral A/S,David Ltd. Liability Co Forwading,2029,3,54130,907780
Arena de Coral A/S,David Ltd. Liability Co Forwading,2031,4,75380,611010
Arena de Coral A/S,David Ltd. Liability Co Forwading,2032,4,71075,1094550
Arena de Coral A/S,David Ltd. Liability Co Forwading,2033,5,64590,NA
Arena de Coral A/S,David Ltd. Liability Co Forwading,2034,17,232765,4073900
Arena del Sol Incorporated,Olas del Sur Ltd,2028,9,183640,804055
Arena del Sol Incorporated,Olas del Sur Ltd,2029,37,723130,NA
Arena del Sol Incorporated,Olas del Sur Ltd,2030,36,749485,5172840
Arena del Sol Incorporated,Olas del Sur Ltd,2031,16,337350,2600600
Arena del Sol Incorporated,Olas del Sur Ltd,2032,2,42030,385145
Arena del Sol Incorporated,móguǐ yú S.A. de C.V.,2028,13,261680,1503770
Arena del Sol Incorporated,móguǐ yú S.A. de C.V.,2029,4,82770,517345
Arena del Sol Incorporated,móguǐ yú S.A. de C.V.,2030,12,284515,1775070
Arena del Sol Ltd. Liability Co Shipping,Playa de Arena Submarine S.A. de C.V. Marine,2033,2,40860,394215
Arena del Sol Ltd. Liability Co Shipping,Playa de Arena Submarine S.A. de C.V. Marine,2034,20,427330,2680045
Arena del Sol Pic,AtlanticAppetite Oyster  Ltd. Corporation Investment,2028,124,2573810,8056140
Arena del Sol Pic,AtlanticAppetite Oyster  Ltd. Corporation Investment,2029,32,668855,NA
Arena del Sol Pic,AtlanticAppetite Oyster  Ltd. Corporation Investment,2031,2,41765,298090
Arena del Sol Pic,Océano de Coral Corporation Marine conservation,2028,119,2486285,8073060
Arena del Sol Pic,Océano de Coral Corporation Marine conservation,2029,41,859480,NA
Arena del Sol Pic,Océano de Coral Corporation Marine conservation,2031,2,27965,83845
Arena del Sol Pic,Playa de Arena Submarine S.A. de C.V. Marine,2028,32,679165,2284745
Arena del Sol Pic,Playa de Arena Submarine S.A. de C.V. Marine,2029,4,94900,NA
Arena del Sol Pic,Selous Game Reserve  S.A. de C.V.,2028,106,2164845,6759555
Arena del Sol Pic,Selous Game Reserve  S.A. de C.V.,2029,37,705100,NA
Arena del Sol Pic,Selous Game Reserve  S.A. de C.V.,2030,30,561610,3850330
Arena del Sol Pic,Selous Game Reserve  S.A. de C.V.,2031,46,860370,5012800
Arena del Sol Pic,Selous Game Reserve  S.A. de C.V.,2032,47,885345,4569190
Arena del Sol Pic,Selous Game Reserve  S.A. de C.V.,2033,7,140540,571795
Arena del Sol Pic,Selous Game Reserve  S.A. de C.V.,2034,11,234255,1156605
Arena del Sol Pic,Turkish Mussels LLC and,2028,17,322060,3631980
Arena del Sol Pic,Turkish Mussels LLC and,2029,3,55125,744570
Arena del Sol Pic,Turkish Mussels LLC and,2030,9,165715,1526725
Arena del Sol Pic,Turkish Mussels LLC and,2031,3,55130,519130
Arena del Sol SRL,Olas del Sur Ltd,2028,19,412895,1895495
Arena del Sol SRL,Olas del Sur Ltd,2029,12,258140,1354435
Arena del Sol SRL,Olas del Sur Ltd,2030,11,240200,1249655
Arena del Sol SRL,Olas del Sur Ltd,2031,18,422445,2456605
Arena del Sol SRL,Olas del Sur Ltd,2032,52,1219285,4784720
Arena del Sol SRL,Olas del Sur Ltd,2033,12,267810,1720515
Arena del Sol SRL,Olas del Sur Ltd,2034,14,243390,2369600
Arena del Sol SRL,Selous Game Reserve  S.A. de C.V.,2029,4,92060,257310
Arena del Sol SRL,Selous Game Reserve  S.A. de C.V.,2030,6,69030,1178485
Arena del Sol SRL,Selous Game Reserve  S.A. de C.V.,2031,20,348060,2206665
Arena del Sol SRL,Selous Game Reserve  S.A. de C.V.,2032,4,83940,633970
Arena del Sol SRL,Selous Game Reserve  S.A. de C.V.,2033,29,553025,3468310
Arena del Sol SRL,Selous Game Reserve  S.A. de C.V.,2034,29,674840,5691130
Arena del Sol SRL,Shou gan  Sagl Mudflat,2031,4,86830,427890
Arena del Sol SRL,Shou gan  Sagl Mudflat,2032,124,2526285,17637900
Arena del Sol SRL,Shou gan  Sagl Mudflat,2033,78,1678760,14676080
Arunachal Pradesh s Ltd,3 Oceanography ОАО Marine life,2031,6,52580,401190
Arunachal Pradesh s Ltd,3 Oceanography ОАО Marine life,2032,8,88390,280800
Arunachal Pradesh s Ltd,3 Oceanography ОАО Marine life,2033,5,74770,629165
Arunachal Pradesh s Ltd,3 Oceanography ОАО Marine life,2034,3,37835,347785
Arunachal Pradesh s Ltd,Scottish Lobster Ltd. Corporation,2031,19,254310,817160
Arunachal Pradesh s Ltd,Scottish Lobster Ltd. Corporation,2032,12,101805,318180
Arunachal Pradesh s Plc,Selous Game Reserve  S.A. de C.V.,2032,5,42225,365485
Arunachal Pradesh s Plc,Selous Game Reserve  S.A. de C.V.,2033,39,760040,NA
Arunachal Pradesh s Plc,Selous Game Reserve  S.A. de C.V.,2034,20,399770,3353765
Arunachal Pradesh s S.A. de C.V.,Playa de Arena Submarine S.A. de C.V. Marine,2029,11,844080,NA
Arunachal Pradesh s S.A. de C.V.,Playa de Arena Submarine S.A. de C.V. Marine,2030,7,325080,910400
Arunachal Pradesh s S.A. de C.V.,Playa de Arena Submarine S.A. de C.V. Marine,2031,3,114870,NA
Asiotr Coral Ltd. Corporation Cargo,-54,2029,23,410340,12312910
Asiotr Coral Ltd. Corporation Cargo,-54,2030,12,232565,6814105
Assam   Limited Liability Company Transit,Selous Game Reserve  S.A. de C.V.,2028,5,89875,1135715
Assam   Limited Liability Company Transit,Selous Game Reserve  S.A. de C.V.,2029,4,70090,944545
Assam   Limited Liability Company Transit,Selous Game Reserve  S.A. de C.V.,2030,3,53745,532170
Assam   Limited Liability Company Transit,Selous Game Reserve  S.A. de C.V.,2033,12,211840,2573050
Assam  Market GmbH & Co. KG Dockyard,Belgian Cod BV Solutions,2028,54,1644900,5726815
Assam  Market GmbH & Co. KG Dockyard,Belgian Cod BV Solutions,2030,2,17010,92065
Assam  Market GmbH & Co. KG Dockyard,Belgian Cod BV Solutions,2033,39,658530,NA
Assam  Market GmbH & Co. KG Dockyard,Belgian Cod BV Solutions,2034,4,36815,272410
Assam  Market LC World,Selous Game Reserve  S.A. de C.V.,2030,7,171790,1951605
Assam  Market LC World,Selous Game Reserve  S.A. de C.V.,2033,11,262020,NA
Assam  Market LC World,Selous Game Reserve  S.A. de C.V.,2034,6,142620,967505
AtlanticAppetite Oyster  Ltd. Corporation Investment,Dutch  Ltd. Liability Co Consultants,2032,40,477910,1787140
AtlanticAppetite Oyster  Ltd. Corporation Investment,Dutch  Ltd. Liability Co Consultants,2033,12,146005,567570
Bahía del Sol NV,Odisha Sea  Ltd. Liability Co Transport,2028,18,430565,3888050
Bahía del Sol NV,Odisha Sea  Ltd. Liability Co Transport,2029,14,336175,3406750
Bahía del Sol NV,Odisha Sea  Ltd. Liability Co Transport,2030,3,72030,763265
Balkan  GmbH & Co. KG,Selous Game Reserve  S.A. de C.V.,2028,5,109520,952605
Balkan  GmbH & Co. KG,Selous Game Reserve  S.A. de C.V.,2030,4,78585,1206680
Balkan  GmbH & Co. KG,Selous Game Reserve  S.A. de C.V.,2031,15,339215,3929685
Balkan  GmbH & Co. KG,Selous Game Reserve  S.A. de C.V.,2032,10,233195,1492480
Balkan  GmbH & Co. KG,Selous Game Reserve  S.A. de C.V.,2033,2,43220,156485
Balkan  GmbH & Co. KG,Selous Game Reserve  S.A. de C.V.,2034,4,83815,404310
Balkan Cat ОАО Transport,Deep Blue Cargo ship,2028,2,38715,487110
Balkan Cat ОАО Transport,Deep Blue Cargo ship,2029,4,80905,959605
Balkan Cat ОАО Transport,Deep Blue Cargo ship,2030,2,37285,335185
Balkan Cat ОАО Transport,Deep Blue Cargo ship,2032,9,186335,1295575
Balkan Cat ОАО Transport,Deep Blue Cargo ship,2033,108,2174100,NA
Balkan Cat ОАО Transport,Deep Blue Cargo ship,2034,29,572600,6180015
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,2028,36,684150,8040890
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,2029,70,1320470,15786675
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,2030,40,782870,7559510
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,2031,70,1504025,14919885
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,2032,42,901130,7974785
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,2033,82,1758705,NA
Baltic Catch Ltd. Liability Co,David Ltd. Liability Co Forwading,2028,1,18010,83080
Baltic Catch Ltd. Liability Co,David Ltd. Liability Co Forwading,2030,18,397110,1691230
Baltic Catch Ltd. Liability Co,David Ltd. Liability Co Forwading,2031,5,111020,409750
Baltic Catch Ltd. Liability Co,David Ltd. Liability Co Forwading,2032,4,85875,302465
Baltic Catch Ltd. Liability Co,David Ltd. Liability Co Forwading,2033,1,21510,75525
Baltic Catch Ltd. Liability Co,Olas del Sur Ltd,2028,66,1435240,6538470
Baltic Catch Ltd. Liability Co,Olas del Sur Ltd,2029,7,151100,685745
Baltic Catch Ltd. Liability Co,Olas del Sur Ltd,2030,9,203470,873835
Baltic Catch Ltd. Liability Co,Olas del Sur Ltd,2031,11,236910,997705
Baltic Catch Ltd. Liability Co,Selous Game Reserve  S.A. de C.V.,2029,3,54020,235720
Baltic Catch Ltd. Liability Co,Selous Game Reserve  S.A. de C.V.,2030,20,364870,1537065
Baltic Catch Ltd. Liability Co,Selous Game Reserve  S.A. de C.V.,2031,13,243700,944795
Baltic Catch SE Solutions,Brisa del Este BV,2029,7,119830,1166495
Baltic Catch SE Solutions,Brisa del Este BV,2030,12,204000,1990895
Baltic Catch SE Solutions,Brisa del Este BV,2031,26,443160,4299080
Baltic Catch SE Solutions,Brisa del Este BV,2032,2,39725,389315
Baltic Catch SE Solutions,Brisa del Este BV,2033,1,13485,137045
Baltic Catch SE Solutions,Caracola Azul Oyj &,2028,21,467910,2107645
Baltic Catch SE Solutions,Caracola Azul Oyj &,2029,11,244895,1216695
Baltic Catch SE Solutions,Caracola Azul Oyj &,2030,7,154440,640895
Baltic Catch SE Solutions,Caracola Azul Oyj &,2031,1,22165,99885
Baltic Catch SE Solutions,Caracola del Sol Services,2029,1,22295,101100
Baltic Catch SE Solutions,Caracola del Sol Services,2030,5,112445,394320
Baltic Catch SE Solutions,Caracola del Sol Services,2031,15,241575,2036830
Baltic Catch SE Solutions,Caracola del Sol Services,2032,2,45895,131565
Baltic Catch SE Solutions,Coral Cove BV Delivery,2028,20,358960,1635430
Baltic Catch SE Solutions,Coral Cove BV Delivery,2029,12,280800,NA
Baltic Catch SE Solutions,Coral Cove BV Delivery,2030,5,98880,431345
Baltic Catch SE Solutions,Coral Cove BV Delivery,2031,2,49260,284785
Baltic Catch SE Solutions,Costa de la Felicidad Shipping,2029,81,1631810,11255465
Baltic Catch SE Solutions,Costa de la Felicidad Shipping,2030,90,1784330,11008505
Baltic Catch SE Solutions,Costa de la Felicidad Shipping,2031,33,617740,5724095
Baltic Catch SE Solutions,Costa de la Felicidad Shipping,2032,37,632185,5249735
Baltic Catch SE Solutions,Costa de la Felicidad Shipping,2033,10,171305,NA
Baltic Catch SE Solutions,David Ltd. Liability Co Forwading,2029,3,62075,312140
Baltic Catch SE Solutions,David Ltd. Liability Co Forwading,2030,26,507725,1899805
Baltic Catch SE Solutions,David Ltd. Liability Co Forwading,2031,21,451960,1440145
Baltic Catch SE Solutions,David Ltd. Liability Co Forwading,2032,26,620530,2078555
Baltic Catch SE Solutions,Mar del Este CJSC,2028,9,175725,799480
Baltic Catch SE Solutions,Mar del Este CJSC,2029,30,613775,2815850
Baltic Catch SE Solutions,Mar del Este CJSC,2030,46,915330,4017040
Baltic Catch SE Solutions,Mar del Este CJSC,2031,5,93110,276945
Baltic Catch SE Solutions,Mar del Este CJSC,2032,11,206935,574895
