source,target,Year,weights,totalweightkg,totalvalueofgoodsusd
 Direct Herring Company Transit,hǎi dǎn Corporation Wharf,2028,3,53865,590210
 Direct Herring Company Transit,hǎi dǎn Corporation Wharf,2029,20,419370,3179570
 Direct Herring Company Transit,hǎi dǎn Corporation Wharf,2030,5,105840,757050
1 Limited Liability Company,Olas del Mar Worldwide,2034,28,538785,1780715
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2028,5,71075,566150
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2029,20,321400,2742395
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2030,149,1885595,14428515
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2031,64,727370,6241705
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2032,23,317815,3240945
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2033,40,767300,7544925
1 Ltd. Liability Co Cargo,Pao gan SE Seal,2034,24,439480,4650945
1 Ltd. Liability Co Cargo,Saltwater Supreme Pelican Ltd Enterprises,2028,18,228480,1544175
1 Ltd. Liability Co Cargo,Saltwater Supreme Pelican Ltd Enterprises,2029,29,402200,3701225
1 Ltd. Liability Co Cargo,Saltwater Supreme Pelican Ltd Enterprises,2030,41,501600,3706205
1 Ltd. Liability Co Cargo,Yu xian  SRL Industrial,2029,25,471505,4538135
1 Ltd. Liability Co Cargo,Yu xian  SRL Industrial,2033,1,20875,227110
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2028,7,105490,873520
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2029,4,35890,548500
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2030,12,154620,1225095
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2031,20,209050,1948065
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2032,13,153005,1683290
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2033,13,211870,2096545
1 Ltd. Liability Co Cargo,hǎi dǎn Corporation Wharf,2034,17,221860,2350375
2 Limited Liability Company,-90,2031,40,1034500,2722955
2 Limited Liability Company,Belgian Cod BV Solutions,2030,3,67525,582190
2 Limited Liability Company,Belgian Cod BV Solutions,2031,19,369655,2938235
2 Limited Liability Company,Belgian Cod BV Solutions,2032,1,9600,59515
2 Limited Liability Company,Brisa del Este BV,2032,2,46865,120380
2 Limited Liability Company,Brisa del Este BV,2033,17,395420,1022685
2 Limited Liability Company,Brisa del Este BV,2034,5,100860,252910
2 Limited Liability Company,Caracola del Sol Services,2031,15,313500,622780
2 Limited Liability Company,Caracola del Sol Services,2032,3,60795,101260
2 Limited Liability Company,Caracola del Sol Services,2033,5,107855,NA
2 Limited Liability Company,Caracola del Sol Services,2034,18,402120,962100
2 Limited Liability Company,Costa de la Felicidad Shipping,2031,3,61450,104960
2 Limited Liability Company,Costa de la Felicidad Shipping,2032,7,152635,342465
2 Limited Liability Company,Costa de la Felicidad Shipping,2033,13,276980,NA
2 Limited Liability Company,Costa de la Felicidad Shipping,2034,12,252085,441885
2 Limited Liability Company,David Ltd. Liability Co Forwading,2031,3,64465,107425
2 Limited Liability Company,David Ltd. Liability Co Forwading,2032,1,21465,74165
2 Limited Liability Company,David Ltd. Liability Co Forwading,2033,3,64920,190870
2 Limited Liability Company,David Ltd. Liability Co Forwading,2034,14,367730,662645
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2031,1,21595,78630
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2032,10,215900,401700
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2033,41,903405,1883040
2 Limited Liability Company,Faroe Islands Halibut Sea S.p.A. Distribution,2034,32,695810,1162875
